"Product_ID","product__Product_name","product__Category","product__Description","product__Manufacturer","product__Price","product__Stock_availability"
"43","Extreme Whatchamacallit","Home","Our product is designed to...","Sony","7386.89","612"
"44","Powerful Grommet","Food","Introducing the newest addition to our product line...","P&G","921.32","314"
"45","Mighty Doodad","Electronics","Our product is designed to...","Nike","6749.03","115"
"46","Super Gizmo","Clothing","Looking for a product that can...","Kraft","8247.42","927"
"47","Extreme Whatchamacallit","Clothing","Our product is the solution for...","Adidas","6232.78","231"
"48","Extreme Whatchamacallit","Toys","Our product is the solution for...","Samsung","7842.65","107"
"49","Ultimate Doohickey","Food","This product is perfect for those who want to...","Samsung","7372.9","745"
"50","Mighty Doodad","Clothing","Introducing the newest addition to our product line...","Apple","2608.72","61"
"51","Extreme Whatchamacallit","Home","Introducing the newest addition to our product line...","LG","3492.69","969"
"52","Mighty Doodad","Home","Introducing the newest addition to our product line...","Nestle","5304.25","827"
"53","Epic Gizmo","Food","This product is perfect for those who want to...","Nestle","458.04","923"
"54","Hyper Gadget","Home","Introducing the newest addition to our product line...","Unilever","449.12","166"
"55","Hyper Gadget","Books","This product is perfect for those who want to...","Nestle","5046.1","431"
"56","Powerful Grommet","Clothing","Our product is the solution for...","Nestle","3740.1","516"
"57","Hyper Gadget","Toys","Looking for a product that can...","P&G","9201.28","97"
"58","Turbo Gismo","Home","Looking for a product that can...","Apple","2532.86","265"
"59","Extreme Whatchamacallit","Food","Our product is the solution for...","P&G","4562.74","560"
"60","Epic Gizmo","Electronics","Looking for a product that can...","Samsung","4645.21","797"
"61","Turbo Gismo","Sports","Our product is designed to...","Adidas","1529.5","578"
"62","Super Gizmo","Food","Our product is the solution for...","P&G","1560.87","916"
"63","Ultimate Doohickey","Beauty","Our product is the solution for...","Unilever","4943.71","457"
"64","Hyper Gadget","Toys","Our product is the solution for...","Apple","7808.99","547"
"65","Powerful Grommet","Clothing","Our product is the solution for...","Nike","5259.43","198"
"66","Powerful Grommet","Toys","This product is perfect for those who want to...","Adidas","6753.58","631"
"67","Acme Widget","Books","This product is perfect for those who want to...","Nestle","3603.22","33"
"68","Powerful Grommet","Beauty","This product is perfect for those who want to...","Samsung","8170.42","322"
"69","Ultimate Doohickey","Toys","Introducing the newest addition to our product line...","Nike","1906.73","190"
"70","Turbo Gismo","Sports","Our product is the solution for...","Kraft","5476.73","977"
"71","Powerful Grommet","Books","Introducing the newest addition to our product line...","Samsung","1475.7","557"
"72","Mega Thingamajig","Electronics","This product is perfect for those who want to...","Adidas","1419.27","592"
"73","Mighty Doodad","Food","This product is perfect for those who want to...","Adidas","6460.7","600"
"74","Mega Thingamajig","Sports","This product is perfect for those who want to...","Apple","3589.93","98"
"75","Super Gizmo","Clothing","Our product is the solution for...","LG","8026.93","139"
"76","Hyper Gadget","Beauty","Our product is the solution for...","Sony","9345.82","691"
"77","Mega Thingamajig","Books","Introducing the newest addition to our product line...","P&G","4596.33","872"
"78","Powerful Grommet","Electronics","This product is perfect for those who want to...","Sony","1809.88","596"
"79","Hyper Gadget","Clothing","Our product is the solution for...","Nestle","1075.78","918"
"80","Mega Thingamajig","Food","This product is perfect for those who want to...","Adidas","1100.37","345"
"81","Hyper Gadget","Sports","Introducing the newest addition to our product line...","Adidas","1352.24","298"
"82","Ultimate Doohickey","Books","Looking for a product that can...","Nike","2118.33","172"
"83","Extreme Whatchamacallit","Toys","This product is perfect for those who want to...","Unilever","4338.68","943"
"84","Acme Widget","Sports","Introducing the newest addition to our product line...","Adidas","7797.1","526"
"85","Super Gizmo","Beauty","This product is perfect for those who want to...","Adidas","6260.45","597"
"86","Powerful Grommet","Clothing","Looking for a product that can...","Nike","2738.31","282"
"87","Mega Thingamajig","Books","This product is perfect for those who want to...","Apple","9925.61","660"
"88","Super Gizmo","Toys","This product is perfect for those who want to...","LG","6695.54","923"
"89","Hyper Gadget","Sports","Our product is designed to...","LG","8577.86","733"
"90","Mighty Doodad","Food","Our product is the solution for...","Nestle","2694.89","579"
"91","Mighty Doodad","Electronics","Our product is designed to...","Samsung","1359.62","661"
"92","Super Gizmo","Toys","This product is perfect for those who want to...","Adidas","9373.24","929"
"93","Hyper Gadget","Clothing","Our product is designed to...","Nike","4771.94","685"
"94","Hyper Gadget","Clothing","Looking for a product that can...","LG","6794.53","215"
"95","Turbo Gismo","Sports","Our product is the solution for...","P&G","2167.82","759"
"96","Super Gizmo","Toys","Looking for a product that can...","Unilever","7718.0","653"
"97","Extreme Whatchamacallit","Clothing","Introducing the newest addition to our product line...","Unilever","6005.77","458"
"98","Turbo Gismo","Electronics","Our product is the solution for...","LG","9207.26","698"
"99","Ultimate Doohickey","Beauty","Introducing the newest addition to our product line...","Apple","924.67","753"
"100","Acme Widget","Beauty","Looking for a product that can...","Samsung","920.67","65"
"101","Powerful Grommet","Food","Our product is designed to...","Nestle","7417.41","246"
"102","Mighty Doodad","Clothing","Introducing the newest addition to our product line...","Nike","8297.17","441"
"103","Extreme Whatchamacallit","Food","Introducing the newest addition to our product line...","Kraft","1025.75","788"
"104","Powerful Grommet","Sports","Our product is designed to...","Kraft","5925.83","288"
"105","Mega Thingamajig","Sports","Introducing the newest addition to our product line...","Apple","1399.78","788"
"106","Hyper Gadget","Beauty","Introducing the newest addition to our product line...","Unilever","1178.51","274"
"107","Ultimate Doohickey","Home","Looking for a product that can...","Apple","7479.35","354"
"108","Super Gizmo","Toys","This product is perfect for those who want to...","Nestle","512.64","667"
"109","Epic Gizmo","Home","Our product is the solution for...","Nike","9500.85","165"
"110","Epic Gizmo","Sports","Our product is the solution for...","Unilever","8539.04","980"
"111","Extreme Whatchamacallit","Books","Looking for a product that can...","LG","9601.54","863"
"112","Super Gizmo","Toys","Our product is the solution for...","Apple","8626.97","497"
"113","Turbo Gismo","Electronics","Introducing the newest addition to our product line...","Samsung","4205.45","384"
"114","Extreme Whatchamacallit","Books","Our product is designed to...","Nike","6646.23","151"
"115","Powerful Grommet","Clothing","Introducing the newest addition to our product line...","Apple","7517.3","195"
"116","Epic Gizmo","Toys","This product is perfect for those who want to...","Unilever","8496.01","775"
"117","Epic Gizmo","Home","Looking for a product that can...","Samsung","7457.33","731"
"118","Epic Gizmo","Electronics","Introducing the newest addition to our product line...","Kraft","2443.09","394"
"119","Mighty Doodad","Electronics","Our product is designed to...","Unilever","1364.1","412"
"120","Ultimate Doohickey","Books","Looking for a product that can...","Nestle","7396.01","241"
"121","Extreme Whatchamacallit","Beauty","Our product is designed to...","Nestle","8204.17","598"
"122","Acme Widget","Sports","Looking for a product that can...","Nestle","7687.01","468"
"123","Ultimate Doohickey","Food","Our product is the solution for...","P&G","6740.22","149"
"124","Acme Widget","Home","Looking for a product that can...","Kraft","8354.07","908"
"125","Extreme Whatchamacallit","Clothing","Introducing the newest addition to our product line...","LG","5627.54","958"
"126","Ultimate Doohickey","Books","Looking for a product that can...","Sony","5166.28","7"
"127","Ultimate Doohickey","Food","This product is perfect for those who want to...","Samsung","7081.64","713"
"128","Epic Gizmo","Food","Looking for a product that can...","Samsung","133.39","984"
"129","Epic Gizmo","Home","Introducing the newest addition to our product line...","Sony","8800.4","87"
"130","Turbo Gismo","Home","Our product is the solution for...","Unilever","3500.49","729"
"131","Super Gizmo","Beauty","Our product is the solution for...","Samsung","4136.87","236"
"132","Hyper Gadget","Beauty","This product is perfect for those who want to...","Nestle","721.55","398"
"133","Epic Gizmo","Books","Introducing the newest addition to our product line...","Sony","4909.86","152"
"134","Hyper Gadget","Home","Our product is the solution for...","Nestle","265.43","23"
"135","Acme Widget","Food","This product is perfect for those who want to...","Apple","1126.76","301"
"136","Super Gizmo","Food","This product is perfect for those who want to...","Samsung","9682.18","622"
"137","Ultimate Doohickey","Home","Our product is the solution for...","Samsung","4961.36","606"
"138","Acme Widget","Beauty","Our product is the solution for...","Sony","2550.69","717"
"139","Ultimate Doohickey","Clothing","Our product is the solution for...","Nike","3431.38","602"
"140","Turbo Gismo","Electronics","Our product is the solution for...","Nike","3791.11","420"
"141","Ultimate Doohickey","Clothing","Our product is the solution for...","P&G","3731.0","144"
"142","Mighty Doodad","Beauty","Introducing the newest addition to our product line...","P&G","4620.43","984"
"143","Epic Gizmo","Food","Our product is designed to...","Unilever","6791.82","113"
"144","Ultimate Doohickey","Food","This product is perfect for those who want to...","LG","3334.7","384"
"145","Hyper Gadget","Electronics","This product is perfect for those who want to...","Kraft","3442.57","288"
"146","Hyper Gadget","Electronics","Our product is the solution for...","Adidas","8636.6","709"
"147","Super Gizmo","Beauty","This product is perfect for those who want to...","Samsung","6849.43","778"
"148","Hyper Gadget","Food","Our product is designed to...","Nestle","8197.27","880"
"149","Ultimate Doohickey","Home","Our product is designed to...","Samsung","3774.98","556"
"150","Super Gizmo","Books","This product is perfect for those who want to...","Kraft","6725.74","58"
"151","Extreme Whatchamacallit","Electronics","This product is perfect for those who want to...","Unilever","6110.41","804"
"152","Mega Thingamajig","Beauty","Introducing the newest addition to our product line...","Apple","4176.65","903"
"153","Epic Gizmo","Clothing","This product is perfect for those who want to...","Unilever","9032.7","274"
"154","Powerful Grommet","Food","Our product is designed to...","Apple","1633.75","516"
"155","Extreme Whatchamacallit","Electronics","Introducing the newest addition to our product line...","LG","9781.07","459"
"156","Hyper Gadget","Food","Introducing the newest addition to our product line...","Nike","6687.07","906"
"157","Epic Gizmo","Clothing","Our product is designed to...","Nestle","2240.61","993"
"158","Extreme Whatchamacallit","Home","Our product is the solution for...","Unilever","8490.84","712"
"159","Acme Widget","Home","Our product is designed to...","Nestle","4970.66","581"
"160","Mighty Doodad","Food","Looking for a product that can...","LG","23.45","455"
"161","Acme Widget","Home","Introducing the newest addition to our product line...","Nike","6483.8","415"
"162","Turbo Gismo","Home","Looking for a product that can...","Unilever","5101.82","832"
"163","Turbo Gismo","Food","Introducing the newest addition to our product line...","Apple","3889.38","890"
"164","Extreme Whatchamacallit","Sports","Looking for a product that can...","Sony","7984.69","151"
"165","Extreme Whatchamacallit","Sports","Looking for a product that can...","P&G","8822.86","22"
"166","Mighty Doodad","Food","Our product is designed to...","Adidas","9907.41","773"
"167","Acme Widget","Beauty","Our product is the solution for...","Sony","9646.96","520"
"168","Mega Thingamajig","Electronics","Our product is designed to...","P&G","3899.44","580"
"169","Acme Widget","Electronics","This product is perfect for those who want to...","Nestle","3824.46","601"
"170","Epic Gizmo","Beauty","Introducing the newest addition to our product line...","Sony","2098.51","991"
"171","Turbo Gismo","Food","Our product is the solution for...","Kraft","5044.35","336"
"172","Mighty Doodad","Beauty","This product is perfect for those who want to...","Samsung","7205.31","472"
"173","Acme Widget","Sports","Introducing the newest addition to our product line...","Nike","7465.3","112"
"174","Epic Gizmo","Sports","Looking for a product that can...","Nestle","9694.28","542"
"175","Epic Gizmo","Sports","Our product is the solution for...","Nike","7890.12","128"
"176","Acme Widget","Home","Introducing the newest addition to our product line...","LG","686.99","665"
"177","Extreme Whatchamacallit","Toys","Introducing the newest addition to our product line...","Unilever","2864.05","906"
"178","Epic Gizmo","Food","Our product is designed to...","Nike","8650.77","210"
"179","Extreme Whatchamacallit","Toys","Our product is the solution for...","Kraft","1204.11","876"
"180","Mega Thingamajig","Home","Looking for a product that can...","Adidas","3525.4","889"
"181","Extreme Whatchamacallit","Books","Looking for a product that can...","P&G","585.33","971"
"182","Mega Thingamajig","Sports","Our product is the solution for...","Samsung","9567.03","425"
"183","Hyper Gadget","Electronics","This product is perfect for those who want to...","Kraft","593.97","776"
"184","Powerful Grommet","Clothing","Looking for a product that can...","Samsung","8309.67","185"
"185","Turbo Gismo","Beauty","This product is perfect for those who want to...","Samsung","394.31","426"
"186","Hyper Gadget","Sports","Introducing the newest addition to our product line...","Samsung","4153.13","946"
"187","Acme Widget","Clothing","Introducing the newest addition to our product line...","Kraft","9033.31","130"
"188","Mighty Doodad","Electronics","Looking for a product that can...","Unilever","2216.61","640"
"189","Epic Gizmo","Books","Introducing the newest addition to our product line...","Samsung","5255.43","869"
"190","Turbo Gismo","Sports","Our product is designed to...","Apple","3374.32","773"
"191","Extreme Whatchamacallit","Sports","This product is perfect for those who want to...","Sony","9608.38","754"
"192","Super Gizmo","Sports","Our product is designed to...","Adidas","2327.81","642"
"193","Epic Gizmo","Home","Our product is the solution for...","Samsung","2494.2","989"
"194","Super Gizmo","Sports","Introducing the newest addition to our product line...","Samsung","1260.76","547"
"195","Acme Widget","Food","Our product is the solution for...","Nestle","1006.42","965"
"196","Hyper Gadget","Food","This product is perfect for those who want to...","Nestle","617.46","264"
"197","Mighty Doodad","Electronics","Looking for a product that can...","P&G","8586.53","948"
"198","Turbo Gismo","Electronics","Looking for a product that can...","Adidas","7722.04","586"
"199","Hyper Gadget","Beauty","Our product is the solution for...","Sony","6905.31","971"
"200","Extreme Whatchamacallit","Beauty","Introducing the newest addition to our product line...","P&G","8221.34","722"
"201","Powerful Grommet","Clothing","Our product is the solution for...","Nike","6317.03","429"
"202","Mega Thingamajig","Food","Our product is the solution for...","Nike","7887.75","210"
"203","Ultimate Doohickey","Food","This product is perfect for those who want to...","Adidas","2728.74","806"
"204","Extreme Whatchamacallit","Clothing","Introducing the newest addition to our product line...","Samsung","3876.15","24"
"205","Turbo Gismo","Clothing","This product is perfect for those who want to...","Unilever","7377.56","588"
"206","Acme Widget","Sports","Our product is designed to...","P&G","9669.47","462"
"207","Epic Gizmo","Sports","Introducing the newest addition to our product line...","Nike","4172.45","943"
"208","Hyper Gadget","Electronics","Introducing the newest addition to our product line...","Nestle","65.31","258"
"209","Epic Gizmo","Home","This product is perfect for those who want to...","Apple","1430.99","468"
"210","Epic Gizmo","Beauty","Our product is the solution for...","Nestle","7109.42","591"
"211","Powerful Grommet","Beauty","Our product is the solution for...","Nike","9470.36","400"
"212","Ultimate Doohickey","Sports","Introducing the newest addition to our product line...","P&G","6806.24","402"
"213","Mega Thingamajig","Food","This product is perfect for those who want to...","Adidas","6996.15","284"
"214","Powerful Grommet","Electronics","Our product is designed to...","LG","6976.72","154"
"215","Super Gizmo","Electronics","Looking for a product that can...","Nestle","6761.47","372"
"216","Turbo Gismo","Electronics","Looking for a product that can...","Apple","3755.54","612"
"217","Super Gizmo","Beauty","Our product is the solution for...","Samsung","7575.06","139"
"218","Mega Thingamajig","Sports","Introducing the newest addition to our product line...","Adidas","3870.78","35"
"219","Powerful Grommet","Books","Our product is the solution for...","Kraft","8605.91","55"
"220","Acme Widget","Food","Our product is designed to...","Nike","601.17","316"
"221","Hyper Gadget","Clothing","Our product is designed to...","Adidas","4141.75","310"
"222","Extreme Whatchamacallit","Sports","This product is perfect for those who want to...","Samsung","8873.47","191"
"223","Extreme Whatchamacallit","Food","Introducing the newest addition to our product line...","P&G","1404.63","665"
"224","Hyper Gadget","Electronics","Looking for a product that can...","Adidas","2258.88","734"
"225","Epic Gizmo","Food","Introducing the newest addition to our product line...","Samsung","8849.98","442"
"226","Epic Gizmo","Food","Our product is the solution for...","LG","1653.65","838"
"227","Extreme Whatchamacallit","Books","Our product is the solution for...","Nike","2916.99","523"
"228","Turbo Gismo","Sports","Our product is designed to...","Nestle","218.47","711"
"229","Epic Gizmo","Toys","Introducing the newest addition to our product line...","Kraft","9383.59","354"
"230","Turbo Gismo","Beauty","Our product is designed to...","Nestle","8046.01","777"
"231","Ultimate Doohickey","Sports","Looking for a product that can...","Kraft","2585.67","101"
"232","Mighty Doodad","Toys","Looking for a product that can...","Samsung","3378.31","950"
"233","Turbo Gismo","Sports","Our product is the solution for...","Nike","7565.51","685"
"234","Super Gizmo","Clothing","Our product is the solution for...","Nestle","8069.2","762"
"235","Epic Gizmo","Electronics","Introducing the newest addition to our product line...","Sony","7576.46","216"
"236","Powerful Grommet","Books","Looking for a product that can...","LG","4877.67","517"
"237","Super Gizmo","Toys","Introducing the newest addition to our product line...","LG","9250.91","988"
"238","Epic Gizmo","Books","Our product is designed to...","Kraft","5333.0","536"
"239","Super Gizmo","Toys","Our product is the solution for...","Sony","6953.1","100"
"240","Mighty Doodad","Home","Looking for a product that can...","Adidas","35.17","400"
"241","Mighty Doodad","Beauty","Our product is the solution for...","Sony","1343.82","309"
"242","Mega Thingamajig","Beauty","Introducing the newest addition to our product line...","P&G","4610.41","383"
"243","Mighty Doodad","Beauty","Looking for a product that can...","Unilever","2874.82","830"
"244","Mega Thingamajig","Toys","This product is perfect for those who want to...","Unilever","9947.61","63"
"245","Ultimate Doohickey","Home","This product is perfect for those who want to...","Kraft","5597.63","832"
"246","Ultimate Doohickey","Books","Our product is designed to...","Nestle","8971.91","279"
"247","Mega Thingamajig","Food","Our product is the solution for...","Samsung","6909.69","888"
"248","Acme Widget","Clothing","Looking for a product that can...","Kraft","5294.74","599"
"249","Extreme Whatchamacallit","Books","Looking for a product that can...","Sony","8661.32","559"
"250","Super Gizmo","Sports","This product is perfect for those who want to...","Nike","7331.79","962"
"251","Epic Gizmo","Electronics","Our product is the solution for...","LG","3675.0","32"
"252","Epic Gizmo","Electronics","Looking for a product that can...","Apple","3110.2","421"
"253","Epic Gizmo","Electronics","Introducing the newest addition to our product line...","Kraft","2600.59","299"
"254","Mega Thingamajig","Books","Our product is the solution for...","Kraft","2040.86","164"
"255","Mega Thingamajig","Beauty","Introducing the newest addition to our product line...","Adidas","588.6","895"
"256","Turbo Gismo","Beauty","This product is perfect for those who want to...","Nike","8345.25","752"
"257","Super Gizmo","Electronics","This product is perfect for those who want to...","Kraft","2074.2","937"
"258","Extreme Whatchamacallit","Food","Looking for a product that can...","Adidas","4782.33","437"
"259","Super Gizmo","Electronics","Looking for a product that can...","Kraft","5024.25","670"
"260","Epic Gizmo","Beauty","Our product is the solution for...","Nike","5055.51","120"
"261","Mega Thingamajig","Home","This product is perfect for those who want to...","Sony","5553.6","932"
"262","Acme Widget","Beauty","This product is perfect for those who want to...","Nike","6227.55","272"
"263","Hyper Gadget","Toys","This product is perfect for those who want to...","Nike","3418.41","989"
"264","Powerful Grommet","Toys","Our product is designed to...","LG","4290.53","181"
"265","Hyper Gadget","Clothing","Our product is the solution for...","Apple","8121.78","274"
"266","Powerful Grommet","Food","Our product is designed to...","Kraft","5078.06","361"
"267","Extreme Whatchamacallit","Books","Our product is designed to...","P&G","7320.23","481"
"268","Acme Widget","Beauty","This product is perfect for those who want to...","LG","5968.84","435"
"269","Extreme Whatchamacallit","Clothing","Our product is designed to...","Nestle","9431.94","471"
"270","Acme Widget","Sports","Introducing the newest addition to our product line...","Nestle","3673.41","95"
"271","Turbo Gismo","Toys","Our product is the solution for...","Kraft","182.02","496"
"272","Epic Gizmo","Beauty","Our product is the solution for...","P&G","1895.33","472"
"273","Ultimate Doohickey","Clothing","Introducing the newest addition to our product line...","Sony","3190.66","639"
"274","Turbo Gismo","Books","Introducing the newest addition to our product line...","Sony","3586.04","79"
"275","Ultimate Doohickey","Home","This product is perfect for those who want to...","Samsung","6629.89","48"
"276","Extreme Whatchamacallit","Clothing","Our product is designed to...","Samsung","8061.1","266"
"277","Turbo Gismo","Home","Our product is designed to...","Sony","2131.19","502"
"278","Mighty Doodad","Books","Our product is the solution for...","LG","9610.59","267"
"279","Acme Widget","Toys","Our product is designed to...","Sony","4455.2","7"
"280","Mighty Doodad","Clothing","Our product is the solution for...","LG","5979.88","437"
"281","Powerful Grommet","Sports","Our product is designed to...","LG","1190.09","633"
"282","Acme Widget","Books","Our product is the solution for...","P&G","8213.76","621"
"283","Powerful Grommet","Toys","This product is perfect for those who want to...","Samsung","2627.09","365"
"284","Super Gizmo","Sports","Introducing the newest addition to our product line...","LG","5973.5","381"
"285","Extreme Whatchamacallit","Beauty","Our product is the solution for...","Kraft","7039.32","191"
"286","Turbo Gismo","Toys","Our product is the solution for...","LG","4272.15","341"
"287","Mighty Doodad","Electronics","This product is perfect for those who want to...","Samsung","6182.75","645"
"288","Extreme Whatchamacallit","Food","Introducing the newest addition to our product line...","LG","6797.98","611"
"289","Acme Widget","Food","Introducing the newest addition to our product line...","Apple","10.04","8"
"290","Super Gizmo","Beauty","Introducing the newest addition to our product line...","Kraft","3513.41","988"
"291","Super Gizmo","Sports","Looking for a product that can...","Samsung","3256.31","416"
"292","Super Gizmo","Toys","Looking for a product that can...","LG","2409.46","567"
"293","Ultimate Doohickey","Food","Our product is the solution for...","P&G","9929.62","211"
"294","Ultimate Doohickey","Clothing","Our product is designed to...","Kraft","6764.2","288"
"295","Ultimate Doohickey","Books","Our product is designed to...","Apple","7201.58","193"
"296","Mighty Doodad","Home","Our product is designed to...","Samsung","1371.8","157"
"297","Acme Widget","Electronics","Introducing the newest addition to our product line...","Nestle","2131.08","121"
"298","Super Gizmo","Food","Our product is designed to...","LG","8467.49","955"
"299","Extreme Whatchamacallit","Books","This product is perfect for those who want to...","Kraft","4179.35","713"
"300","Mega Thingamajig","Home","Our product is the solution for...","Apple","6369.52","106"
"301","Super Gizmo","Sports","Introducing the newest addition to our product line...","Samsung","7900.06","538"
"302","Mega Thingamajig","Food","Looking for a product that can...","Nestle","3300.01","760"
"303","Turbo Gismo","Home","Looking for a product that can...","Adidas","5805.55","19"
"304","Epic Gizmo","Electronics","Our product is the solution for...","Samsung","3339.55","412"
"305","Turbo Gismo","Electronics","This product is perfect for those who want to...","Samsung","7905.96","285"
"306","Epic Gizmo","Toys","This product is perfect for those who want to...","Nike","7312.11","95"
"307","Super Gizmo","Food","This product is perfect for those who want to...","Nike","262.1","977"
"308","Extreme Whatchamacallit","Electronics","Introducing the newest addition to our product line...","LG","3115.31","931"
"309","Hyper Gadget","Beauty","Our product is the solution for...","Nestle","5785.13","821"
"310","Extreme Whatchamacallit","Sports","Our product is designed to...","Sony","2084.81","570"
"311","Mighty Doodad","Beauty","This product is perfect for those who want to...","Adidas","487.68","556"
"312","Hyper Gadget","Home","Looking for a product that can...","Nike","8111.55","71"
"313","Turbo Gismo","Beauty","Our product is the solution for...","Adidas","6885.3","974"
"314","Epic Gizmo","Books","Introducing the newest addition to our product line...","Apple","3700.19","80"
"315","Powerful Grommet","Clothing","Looking for a product that can...","Apple","7645.17","528"
"316","Mega Thingamajig","Clothing","Looking for a product that can...","Unilever","91.49","53"
"317","Super Gizmo","Books","Looking for a product that can...","Sony","1784.69","409"
"318","Extreme Whatchamacallit","Toys","Looking for a product that can...","LG","6011.37","662"
"319","Super Gizmo","Toys","Our product is the solution for...","Unilever","9097.42","686"
"320","Powerful Grommet","Sports","Our product is designed to...","Sony","5707.98","826"
"321","Powerful Grommet","Beauty","Introducing the newest addition to our product line...","Adidas","1015.51","371"
"322","Hyper Gadget","Clothing","Our product is the solution for...","Nestle","1458.53","152"
"323","Ultimate Doohickey","Food","Introducing the newest addition to our product line...","Apple","1326.34","219"
"324","Extreme Whatchamacallit","Beauty","This product is perfect for those who want to...","Samsung","2348.94","650"
"325","Powerful Grommet","Food","Our product is the solution for...","Samsung","9296.12","583"
"326","Extreme Whatchamacallit","Home","Our product is the solution for...","P&G","7562.1","300"
"327","Epic Gizmo","Electronics","Introducing the newest addition to our product line...","Unilever","9318.22","226"
"328","Hyper Gadget","Toys","Our product is designed to...","P&G","9345.89","873"
"329","Acme Widget","Food","Introducing the newest addition to our product line...","Kraft","2978.75","828"
"330","Epic Gizmo","Books","Introducing the newest addition to our product line...","Nike","5371.63","877"
"331","Powerful Grommet","Sports","Our product is the solution for...","Unilever","5679.19","686"
"332","Epic Gizmo","Electronics","Looking for a product that can...","Nike","5736.93","807"
"333","Hyper Gadget","Food","Our product is designed to...","P&G","4326.22","742"
"334","Ultimate Doohickey","Food","Our product is designed to...","P&G","1328.56","186"
"335","Mighty Doodad","Clothing","Our product is the solution for...","Adidas","149.76","117"
"336","Epic Gizmo","Home","Our product is the solution for...","Sony","3833.41","669"
"337","Acme Widget","Electronics","Our product is the solution for...","Adidas","6778.51","295"
"338","Extreme Whatchamacallit","Home","Introducing the newest addition to our product line...","Nestle","5121.73","117"
"339","Mighty Doodad","Sports","Our product is designed to...","Apple","2708.31","685"
"340","Turbo Gismo","Sports","Looking for a product that can...","Kraft","3746.11","241"
"341","Powerful Grommet","Books","Introducing the newest addition to our product line...","Nike","1826.91","281"
"342","Epic Gizmo","Food","Introducing the newest addition to our product line...","Adidas","1336.7","104"
"343","Mega Thingamajig","Toys","Looking for a product that can...","P&G","2877.59","110"
"344","Powerful Grommet","Toys","This product is perfect for those who want to...","Unilever","116.59","301"
